filter_i,filter_j,delta_mse,t_stat,p_value,significant
0,30,1.8471382645657288e-06,0.1684819400770349,0.4331024303815178,False
0,31,-2.5816659032784628e-08,-0.519685533289216,0.6983574150206471,False
0,32,1.6910076737985946e-05,1.819768525466392,0.0344002468155546,False
0,33,-1.6173074982361868e-05,-0.620359161635702,0.7324878498219285,False
0,34,-1.0044967666544835e-06,-1.6213503967722611,0.947525457038718,False
0,35,1.1781359717133457e-05,1.3104631081596336,0.0950227460289849,False
1,1,6.832122744526714e-05,4.579633460215521,2.334803555042105e-06,True
1,2,-4.400740635901457e-06,-0.973265809081078,0.8347869403291691,False
1,3,4.6835761935426496e-08,3.9402638898922953,4.075362339641629e-05,True
1,4,-3.708801488144786e-09,-0.8068516544932411,0.7901220219588243,False
1,5,1.6749735820553724e-08,0.641773744635253,0.2605115832484694,False
1,6,9.10349172045244e-06,2.227824936873351,0.0129484055015426,False
1,7,-9.205957773872342e-09,-0.6830507525469321,0.7527109638489744,False
1,8,1.616921423419626e-07,2.526516176208659,0.0057615987271923,False
1,9,6.5816037064792e-09,0.4815885539671969,0.3150502280653213,False
1,10,-2.59558248671965e-07,-1.6522128797482785,0.9507511461462024,False
1,11,1.04518028365419e-06,1.661599788997997,0.0482997906551566,False
1,12,5.6673619837965816e-05,1.917885638093462,0.0275657226656959,False
1,13,-9.78334213641574e-08,-1.533251120301519,0.9373897054999228,False
1,14,-3.561930128626045e-08,-0.068999849799755,0.5275049866446708,False
1,15,0.0001754192198859,7.34313047762696,1.0597850974206063e-13,True
1,16,0.0001959649380296,5.846430271766467,2.527391517232127e-09,True
1,17,5.006961032449908e-07,3.1375103534193007,0.0008524617692221,False
1,18,-5.404949661169667e-07,-0.5599902914211182,0.712255662380261,False
1,19,5.05495414415691e-08,3.135959322992031,0.0008569820819722,False
1,20,9.124029020313174e-05,2.799874497712989,0.0025571455052752,False
1,21,1.179255892935771e-08,3.882346695507235,5.179586048288454e-05,True
1,22,-6.549323927629302e-08,-1.8727002588084176,0.9694420668226424,False
1,23,-6.608028568777512e-10,-0.2292917052859939,0.5906784111439559,False
1,24,2.8875339808109857e-07,3.2699610084080266,0.0005381905401232,False
1,25,-9.286848268175164e-08,-0.9858342011715798,0.8378902735791338,False
1,26,-3.074051235785191e-08,-1.5801454874068492,0.9429599266214792,False
1,27,1.2542493095679674e-05,0.81420070091206,0.2077670132147234,False
1,28,-1.501901825129437e-09,-0.9255922015723111,0.8226686975989774,False
1,29,1.0671155070696159e-09,0.5666258859698698,0.2854855177646311,False
1,30,6.440955502284852e-08,1.2792221674300366,0.100412510312893,False
1,31,3.943837256770166e-09,1.5583360156582506,0.0595801068682304,False
1,32,-7.621665787382882e-08,-0.808581734043811,0.7906201071696435,False
1,33,6.497444249298211e-10,0.0191101131242177,0.4923766716456784,False
1,34,-1.048953279791931e-07,-0.0233866044489453,0.509329006260939,False
1,35,2.818437110363448e-07,0.4666231572540095,0.3203858177461239,False
2,2,0.0007575482013635,11.732678776721016,4.789407717074031e-32,True
2,3,-6.205883096299658e-08,-2.1793594978029525,0.9853450895400097,False
2,4,2.630292556204949e-06,2.2775550065550614,0.0113787423979017,False
2,5,1.2003450137854088e-05,1.350298338865908,0.0884633383136423,False
2,6,-4.08771825277654e-08,-0.1545652038027604,0.5614176230063385,False
2,7,-7.016640046764167e-10,-0.0369768505668663,0.5147481912107288,False
